time,soc,soh,temp,voltage,current,v1,v2,R0,R1,R2,power,tte_estimate,brightness,cpu_load,gpu_load,network_traffic,signal_quality,gps_flag,power_base,power_screen,power_cpu,power_gpu,power_network,power_gps,power_background,stop_reason,actual_tte_s
3305.0,0.7510481341963977,0.9999999999979323,27.94780439824876,3.8452474649336463,0.9744006470699219,0.004742330319617273,0.009496112354247837,0.014599661864267028,0.004866553954755676,0.009733107909511351,3.7468097112707897,9573.087417030461,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3315.0,0.7502634406499157,0.9999999999979263,27.953000551687644,3.844254578543959,0.9746523106124662,0.004741055085381311,0.009493490781121494,0.014591974196003896,0.004863991398667966,0.009727982797335931,3.7468097112707897,9560.616178139686,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3325.0,0.7494785443791444,0.9999999999979203,27.958181120434496,3.843261573835592,0.9749041342002925,0.004739787268739415,0.009490884164384178,0.01458431091164472,0.00486143697054824,0.00972287394109648,3.7468097112707897,9548.14722787784,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3335.0,0.7486934452551337,0.9999999999979143,27.96334615209303,3.8422684508074334,0.9751561179809908,0.004738526866482088,0.009488292496719852,0.014576671984102216,0.0048588906613674055,0.009717781322734811,3.7468097112707897,9535.680567525209,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3345.0,0.7479081431488147,0.9999999999979083,27.968495694124552,3.8412752094580465,0.9754082621024527,0.004737273875454806,0.009485715770925865,0.014569057386462348,0.004856352462154117,0.009712704924308233,3.7468097112707897,9523.216198361935,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3355.0,0.747122637930999,0.9999999999979023,27.97362979384837,3.840281849785666,0.9756605667128143,0.00473602829255789,0.009483153979912687,0.014561467091983601,0.004853822363994534,0.009707644727989068,3.7468097112707897,9510.75412166803,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3365.0,0.7463369294723788,0.9999999999978963,27.97874849844224,3.8392883717882063,0.9759130319604873,0.0047347901147462325,0.009480607116703475,0.014553901074096324,0.0048513003580321085,0.009702600716064217,3.7468097112707897,9498.294338723377,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3375.0,0.7455510176435269,0.9999999999978904,27.98385185494279,3.838294775463257,0.9761656579941324,0.004733559339029209,0.009478075174433779,0.014546359306402001,0.004848786435467334,0.009697572870934668,3.7468097112707897,9485.836850807756,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3385.0,0.7447649023148961,0.9999999999978844,27.988939910245954,3.837301060808084,0.9764184449627191,0.004732335962470663,0.009475558146351247,0.014538841762672615,0.004846280587557539,0.009692561175115078,3.7468097112707897,9473.381659200817,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
3395.0,0.7439785833568189,0.9999999999978784,27.994012711107395,3.8363072278196326,0.9766713930154388,0.00473111998218846,0.009473056025815213,0.014531348416849919,0.004843782805616639,0.009687565611233278,3.7468097112707897,9460.928765182114,0.75,0.85,0.75,0.15,4.0,0.0,0.35,0.8021711060847014,1.0837499999999998,0.9558886051860883,0.51,0.0,0.045,,
